*UNIQUE-ID,ACCESSION-1,NAME,SYNONYMS,PRODUCT-NAME,SWISS-PROT-ID,START-BASE,END-BASE,DIRECTION,GENE-TYPE,TU-COLOR,TU,Promoters,Sigma,Regulator_activate,Regulator_inhibit
G7517,b2920,scpC,ygfH,propionyl-CoA:succinate CoA transferase,P52043,3064802,3066280,+,P,3.0,['TU0-8343'],[[]],[],['Fnr'],[None]
G0-10634,b4687,shoB,"yphI,ryfB,b4681",toxic peptide ShoB,C1P611,2700117,2700197,-,P,9.0,['TU0-14422'],[['PM0-9623']],['RPOD-MONOMER'],[None],['OhsC']
G7235,b2372,yfdV,,putative transport protein YfdV,P0AA49,2489242,2490186,-,P,8.0,"['TU0-7746', 'TU0-13609']","[['PM0-9856', 'PM0-9856', 'PM0-9856'], []]","['RPOD-MONOMER', None, None]","['EvgA-Pasp', 'Nac']","[None, None]"
G6681,b1357,ydaS,,Rac prophage; putative DNA-binding transcriptional regulator YdaS,P76063,1420365,1420661,+,P,6.0,['TU0-13231'],[[]],[],[None],['RacR']
EG11560,b0039,caiA,yaaO,crotonobetainyl-CoA reductase,P60584,39244,40386,-,P,1.0,['TU00247'],"[['PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM00528', 'PM339', 'PM339', 'PM339', 'PM339', 'PM339', 'PM339', 'PM339', 'PM00528']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None]","['CRP-cyclic-AMP DNA-binding transcriptional dual regulator, CaiF-L-carnitine, ArcA-Pasp54, Fnr']",['H-NS']
G0-10650,b4683,yqeL,,uncharacterized protein YqeL,C1P613,2989819,2989899,-,P,,[],[],[],"['CRP-cyclic-AMP DNA-binding transcriptional dual regulator, CaiF-L-carnitine, ArcA-Pasp54, Fnr']",['H-NS']
G6552,b1047,opgC,"ymdD,mdoC",osmoregulated periplasmic glucans (OPG) biosynthesis protein C,P75920,1107784,1108941,-,P,1.0,['TU0-8826'],[[]],[],[None],[None]
EG11890,b3506,slp,,starvation lipoprotein,P37194,3653961,3654527,+,P,2.0,['TU00096'],"[['PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137', 'PM00137']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None]","['YdeO, GadRcs, GadX']","['H-NS, GadW, MarA']"
EG10365,b2151,galS,mglD,DNA-binding transcriptional dual regulator GalS,P25748,2240628,2241668,-,P,8.0,['TU00024'],"[['PM00031', 'PM00031', 'PM00031', 'PM00031', 'PM00031', 'PM00031']]","['RPOD-MONOMER', None, None, None, None, None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],"['GalS, GalR']"
EG12273,b3554,yiaF,,DUF3053 domain-containing protein YiaF,P0ADK0,3718334,3719044,-,P,3.0,['TU0-8589'],[['PM0-10148']],[None],[None],[None]
EG30014,b0536,argU,"dnaY,pin",tRNA-Arg(UCU),,564723,564799,+,R,8.0,['TU00491'],"[['PM00646', 'PM00646']]","['RPOD-MONOMER', None]",['Fis'],[None]
EG12388,b0534,sfmF,ybcG,putative fimbrial protein SfmF,P38052,563330,563845,+,P,6.0,['TU0-12968'],[[]],[],[None],[None]
EG11080,b0028,fkpB,"slpA,yaaD",peptidyl-prolyl <i>cis-trans</i> isomerase FkpB,P0AEM0,25826,26275,+,P,7.0,"['TU0-14465', 'TU0-14395', 'TU0-14394', 'TU0-14253', 'TU00291']","[['PM0-9709'], ['PM0-9553'], ['PM0-9552'], ['PM0-9328'], ['PM0-8866']]","['RPOH-MONOMER', None, 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER']","[None, None, None, None, None]","[None, None, None, None, None]"
EG11295,b3785,wzzE,"wzz,yifC",enterobacterial common antigen polysaccharide co-polymerase,P0AG00,3969031,3970077,+,P,8.0,['TU0-14039'],"[['PM0-10437', 'PM0-10437']]","['RPOD-MONOMER', None]",[None],['NsrR']
EG11449,b4480,hdfR,"b3762,yifA,yifD,b3763",DNA-binding transcriptional dual regulator HdfR,P0A8R9,3947128,3947967,-,P,6.0,['TU0-8808'],"[['PM0-36193', 'PM0-36193']]","['RPOS-MONOMER', None]",[None],['H-NS']
EG10306,b1102,fhuE,,ferric coprogen/ferric rhodotorulic acid outer membrane transporter,P16869,1159362,1161551,-,P,9.0,['TU0-2581'],"[['PM0-2761', 'PM0-2761', 'PM0-2761']]","[None, None, None]",[None],['DNA-binding transcriptional dual regulator Fur']
EG10473,b0977,hyaF,,protein HyaF,P19932,1036749,1037606,+,P,7.0,"['TU0-45171', 'TU00288']","[['PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM0-46472'], ['PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM0-46472', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598', 'PM00598']]","['RPOS-MONOMER', None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, 'RPOS-MONOMER', None, None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None]","['AppY, ArcA-Pasp54, YdeO', 'YdeO, ArcA-Pasp54, AppY']","['NarP-Pasp59, NarL-Pasp59, Fis, IscR', 'Fis, NarL-Pasp59, NarP-Pasp59, IscR']"
G6234,b0417,thiL,thiJ,thiamine monophosphate kinase,P0AGG0,435634,436611,+,P,9.0,"['TU0-14466', 'TU0-12921']","[['PM0-9711'], ['PM0-9643']]","['RPOH-MONOMER', 'RPOD-MONOMER']","[None, None]","[None, None]"
G0-17074,b4803,speFL,,leader peptide SpeFL,P0DTV7,720718,720822,-,P,1.0,['TU00360'],[[]],[],[None],['OmpR']
G0-10471,b4558,lptM,yifL,LptD oxidative maturation-associated lipoprotein,P0ADN6,3994522,3994725,+,P,7.0,['TU0-14042'],[['PM0-10344']],['RPOD-MONOMER'],[None],[None]
G7281,b2451,eutA,yffT,ethanolamine ammonia-lyase reactivase EutA,P76551,2565481,2566884,-,P,9.0,['TU0-13634'],[[]],[],[None],['HipB']
EG11476,b3835,ubiB,"yigS,yigQ,yigR,aarF",ubiquinone biosynthesis protein UbiB,P0A6A0,4020226,4021866,+,P,3.0,['TU0-5881'],[[]],[],[None],[None]
EG30072,b3759,rrfC,,5S ribosomal RNA,,3946700,3946819,+,R,3.0,"['TU0-45209', 'TU0-1184', 'TU0-1183']","[['PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-46509'], ['PM0-1344', 'PM0-1344'], ['PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-46509', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343', 'PM0-1343']]","['RPOH-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None, 'RPOD-MONOMER', None, 'RPOH-MONOMER', None, None, None, None, None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None, None, None]","['Fis', None, 'Fis']","['Lrp-leu, H-NS, ppGpp, DksA, DksA-ppGpp', 'NhaR-Na+', 'NhaR-Na+, DksA-ppGpp, DksA, ppGpp, Lrp-leu']"
G6953,b1758,ynjF,,CDP-alcohol phosphatidyltransferase domain-containing protein YnjF,P76226,1840783,1841403,-,P,5.0,['TU0-8641'],[['PM0-36241']],[None],[None],[None]
EG12040,b2179,yejE,,putative oligopeptide ABC transporter membrane subunit YejE,P33915,2275273,2276298,+,P,8.0,['TU0-13552'],[[]],[],[None],[None]
EG11071,b2894,xerD,xprB,site-specific recombinase,P0A8P8,3038847,3039743,-,P,6.0,"['TU0-45199', 'TU0-14489', 'TU0-13787']","[['PM0-46499'], ['PM0-9743'], []]","['RPOH-MONOMER', 'RPOD-MONOMER']","[None, None, None]","[None, None, None]"
G7894,b4272,insC6,yi21-6,KpLE2 phage-like element; IS2 insertion element repressor InsA,P0CF45,4498272,4498637,+,P,9.0,['TU0-14179'],[[]],[],[None],[None]
EG30039,b1911,glyW,"ins,mutC,suA58,suA78",tRNA-Gly(GCC),,1992042,1992117,-,R,3.0,['TU00512'],[['PM00667']],['RPOD-MONOMER'],[None],[None]
EG10291,b4293,fecI,,RNA polymerase sigma factor FecI,P23484,4517714,4518235,-,P,8.0,['TU00460'],"[['PM00207', 'PM00207', 'PM00207', 'PM00207', 'PM00207', 'PM00207']]","['RPOD-MONOMER', None, None, None, None, None]",[None],"['SlyA, DNA-binding transcriptional dual regulator Fur']"
EG11867,b3903,rhaA,,L-rhamnose isomerase,P32170,4094723,4095982,-,P,8.0,['TU00219'],"[['PM00303', 'PM00303', 'PM00303', 'PM00303', 'PM00303']]","['RPOD-MONOMER', None, None, None, None]","['RhaS-rhamnose, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']",[None]
EG10394,b3426,glpD,glyD,aerobic glycerol 3-phosphate dehydrogenase,P13035,3562013,3563518,+,P,5.0,['TU00031'],"[['PM00038', 'PM00038', 'PM00038', 'PM00038', 'PM00038', 'PM00038', 'PM503']]","['RPOD-MONOMER', None, None, None, None, None, None]",['CRP-cyclic-AMP DNA-binding transcriptional dual regulator'],['GlpR']
G6850,b1592,clcB,"ynfJ,mriT",putative chloride:H<sup>+</sup> antiporter ClcB,P76175,1665315,1666571,+,P,2.0,['TU0-13337'],[[]],[],[None],[None]
EG10676,b1245,oppC,,murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC,P0AFH6,1303834,1304742,+,P,6.0,"['TU0-45147', 'TU00222']","[['PM0-46450'], ['PM00306', 'PM00306', 'PM00306', 'PM00306', 'PM00306']]","[None, 'EG11355-MONOMER', None, None, None, None]","[None, 'spermidine']","[None, 'GcvB, DNA-binding transcriptional dual regulator Fur, Lrp, ArcA-Pasp54, ModE-MoO42-']"
G6740,b1425,b1425,,,,1498432,1498635,-,H,,[],[],[],"[None, 'spermidine']","[None, 'GcvB, DNA-binding transcriptional dual regulator Fur, Lrp, ArcA-Pasp54, ModE-MoO42-']"
G7173,b2266,elaB,yfbD,tail-anchored inner membrane protein ElaB,P0AEH5,2380722,2381027,-,P,6.0,['TU0-13571'],"[['PM0-9756', 'PM0-9756', 'PM0-9756', 'PM0-9756']]","['RPOS-MONOMER', None, None, None]","['ppGpp, OxyR']","['Rob, OxyR']"
EG30028,b0670,glnU,"glnUalpha,supB,trnA",tRNA-Gln(UUG),,696865,696939,-,R,11.0,['TU00507'],"[['PM00662', 'PM00662', 'PM00662']]","['RPOD-MONOMER', None, None]",['Fis'],['ppGpp']
G7178,b2271,yfbL,,putative peptidase YfbL,P76482,2385860,2386831,+,P,11.0,['TU0-13575'],[[]],[],['Nac'],[None]
G6085,b0021,insB1,,IS1 family protein InsB,P0CF25,19811,20314,-,P,5.0,['TU0-12796'],[[]],[],[None],[None]
EG12248,b3522,yhjD,,putative transporter YhjD,P37642,3673362,3674375,+,P,1.0,['TU0-13967'],[[]],[],[None],['Nac']
G0-16655,b4642,yoeD,,,,2078549,2078677,-,S,,[],[],[],[None],['Nac']
G7069,b1984,asnW,,tRNA-Asn(GUU),,2058027,2058102,-,R,5.0,['TU0-3561'],[[]],[],[None],[None]
G6233,b0402,proY,yajM,putative transporter ProY,P0AAE2,420986,422359,+,P,2.0,['TU0-12918'],[['PM0-9977']],[None],[None],[None]
M014,b0351,mhpF,,acetaldehyde dehydrogenase (acetylating) MhpF,P77580,372921,373871,+,P,4.0,['TU0-2402'],"[['PM0-2582', 'PM0-2582', 'PM0-2582']]","['RPOD-MONOMER', None, None]","['MhpR-3HPP, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']",[None]
G0-10469,b4555,yicS,,uncharacterized protein YicS,Q2M7X4,3840215,3840508,+,P,10.0,['TU0-8594'],[[]],[],[None],[None]
EG10047,b0050,apaG,,DUF525 domain-containing protein ApaG,P62672,51229,51606,-,P,6.0,"['TU0-5202', 'TU0-5201', 'TU0-5186', 'TU00362']","[['PM0-5442'], ['PM0-5441', 'PM0-5441'], ['PM0-5426'], ['PM191']]","[None, None, None, None, 'RPOE-MONOMER']","[None, 'Fis', None, None]","[None, None, None, None]"
G7139,b2107,rcnB,yohN,periplasmic protein involved in Ni/Co export,P64534,2186960,2187298,+,P,1.0,"['TU0-13514', 'TU0-13515']","[['PM0-9620', 'PM0-9620', 'PM0-9620', 'PM0-9620', 'PM0-9620', 'PM0-9620'], []]","['RPOD-MONOMER', None, None, None, None, None]","[None, None]","['DNA-binding transcriptional dual regulator Fur, RcnR', None]"
EG11389,b1926,fliT,,flagellar biosynthesis protein FliT,P0ABY2,2005713,2006078,+,P,1.0,"['TU0-14278', 'TU00274']","[['PM0-9381'], ['PM00604', 'PM00604']]","['EG11355-MONOMER', 'RPOD-MONOMER', None]","[None, 'FlhDC']","[None, None]"
EG30065,b2967,pheV,pheC,tRNA-Phe(GAA),,3110366,3110441,+,R,10.0,['TU00501'],"[['PM00656', 'PM00656']]","['RPOD-MONOMER', None]",['Fis'],[None]
G0-9962,b4618,tisB,ysdB,membrane-depolarizing toxin TisB,A5A627,3853553,3853642,+,P,7.0,['TU0-6241'],"[['PM0-6541', 'PM0-6541']]","[None, None]",[None],"['IstR-1, LexA']"
EG10288,b4289,fecC,,ferric citrate ABC transporter membrane subunit FecC,P15030,4512411,4513409,-,P,7.0,['TU00151'],"[['PM00605', 'PM00605', 'PM00605', 'PM00605', 'PM00605', 'PM00605', 'PM00605']]","['PD00440', None, None, None, None, None, None]","['CRP-cyclic-AMP DNA-binding transcriptional dual regulator, PdhR']","['HypT-[Met-oxidized], DNA-binding transcriptional dual regulator Fur']"
EG10268,b0566,envY,,DNA-binding transcriptional activator EnvY,P10805,586147,586908,-,P,8.0,['TU00264'],[[]],[],[None],[None]
G6092,b0174,ispU,"uppS,rth,yaeS","<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]",P60472,194903,195664,+,P,,"['TU0-12831', 'TU0-14609', 'TU0-14339']","[[], ['PM0-9965'], ['PM0-9964']]","[None, None]","[None, None, None]","[None, None, None]"
EG11024,b1260,trpA,"try,tryp",tryptophan synthase subunit &alpha;,P0A877,1316416,1317222,-,P,5.0,"['TU3', 'TU00067']","[['PM00368'], ['PM00094', 'PM00094', 'PM00094', 'PM00094']]","['RPOD-MONOMER', 'RPOD-MONOMER', None, None, None]","[None, 'RydC']","[None, 'GcvB, TrpR-trp']"
EG10994,b1238,tdk,,thymidine/deoxyuridine kinase,P23331,1293527,1294144,+,P,2.0,['TU0-8527'],[[]],[],[None],[None]
G0-10602,b4611,sibE,"QUAD1e,rygE",small RNA SibE,,3195097,3195240,-,R,8.0,['TU0-14716'],[['PM0-10279']],['RPOD-MONOMER'],[None],[None]
G6365,b0662,ubiF,yleB,3-demethoxyubiquinol 3-hydroxylase,P75728,695101,696276,+,P,10.0,['TU0-8533'],[[]],[],[None],[None]
G6827,b1554,rrrQ,ydfQ,Qin prophage; putative lysozyme,P76159,1639524,1640057,-,P,5.0,['TU0-13321'],[[]],[],[None],[None]
EG10806,b1062,pyrC,,dihydroorotase,P05020,1121561,1122607,-,P,1.0,['TU00060'],"[['PM00083', 'PM00083', 'PM00083']]","['RPOD-MONOMER', None, None]",[None],"['DNA-binding transcriptional dual regulator Fur, PurR-hypoxanthine']"
EG11281,b4170,mutL,,DNA mismatch repair protein MutL,P23367,4397412,4399259,+,P,11.0,"['TU0-14759', 'TU0-14562', 'TU0-14561', 'TU802', 'TU801', 'TU00236']","[['PM0-10404'], ['PM0-9865'], ['PM0-9864'], ['PM964'], ['PM963'], ['PM962']]","[None, 'RPOD-MONOMER', 'RPOH-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER', 'RPOD-MONOMER']","[None, None, None, None, None, None]","[None, None, None, None, None, None]"
EG10829,b3652,recG,"radC,spoV",ATP-dependent DNA helicase RecG,P24230,3825210,3827291,+,P,1.0,"['TU0-42470', 'TU00344']","[[], ['PM0-10343', 'PM0-10343']]","['RPOD-MONOMER', None]","['CreB-Pasp54', None]","[None, 'DksA-ppGpp']"
EG10402,b0720,gltA,"gluT,icdB",citrate synthase,P0ABH7,753185,754468,-,P,5.0,"['TU00416', 'TU00106']","[['PM00349'], ['PM00148', 'PM00148', 'PM00148', 'PM00148', 'PM00143', 'PM00143', 'PM00143', 'PM00143', 'PM00143', 'PM00143', 'PM00143', 'PM00143']]","[None, 'RPOD-MONOMER', None, None, None, 'RPOD-MONOMER', None, None, None, None, None, None, None]","[None, 'CRP-cyclic-AMP DNA-binding transcriptional dual regulator, IHF']","[None, 'ArcA-Pasp54']"
G6236,b0419,yajO,,1-deoxyxylulose-5-phosphate synthase YajO,P77735,437161,438135,-,P,10.0,"['TU0-14500', 'TU00373']","[['PM0-9779'], ['PM0-2082']]","[None, 'RPOD-MONOMER']","['ppGpp', None]","[None, None]"
G7555,b2998,yghW,,DUF2623 domain-containing protein YghW,P64574,3146450,3146737,-,P,6.0,['TU0-13820'],[[]],[],[None],[None]
EG11814,b0997,torA,,trimethylamine <i>N</i>-oxide reductase 1,P33225,1059256,1061802,+,P,9.0,['TU00212'],"[['PM00298', 'PM00298', 'PM00298', 'PM00298', 'PM00298', 'PM00298', 'PM168', 'PM168']]","['RPOD-MONOMER', None, None, None, None, None, 'RPOD-MONOMER', None]",['TorR-Pasp'],['NarL-Pasp59']
EG12329,b0148,hrpB,yadO,RNA-dependent NTPase HrpB,P37024,162105,164534,+,P,7.0,['TU0-12819'],[[]],[],[None],[None]
EG12249,b3523,yhjE,,putative transporter YhjE,P37643,3674786,3676108,+,P,2.0,['TU0-13968'],[[]],[],['Nac'],['ArcA-Pasp54']
G7444,b2778,ygcG,,TPM domain-containing protein YgcG,P55140,2905711,2906583,+,P,6.0,['TU0-8338'],[[]],[],[None],[None]
G6505,b0984,gfcD,ymcA,putative lipoprotein GfcD,P75882,1045849,1047945,-,P,10.0,['TU0-13107'],[[]],[],[None],[None]
EG12123,b2289,lrhA,genR,DNA-binding transcriptional dual regulator LrhA,P36771,2405703,2406641,-,P,6.0,['TU00428'],"[['PM00576', 'PM00576']]","[None, None]",['LrhA'],"['ArcZ, RprA, UhpU']"
EG12363,b3043,ygiL,,putative fimbrial protein YgiL,P39834,3185414,3185965,+,P,3.0,['TU0-13842'],[[]],[],[None],[None]
EG10334,b3844,fre,"fadI,flrD,fsrC",NAD(P)H-flavin reductase,P0AEN1,4026527,4027228,+,P,8.0,"['TU0-14665', 'TU0-14055']","[['PM0-10164'], ['PM0-10163']]","[None, None]","[None, None]","[None, None]"
G6529,b1022,pgaC,"hmsR,ycdQ",poly-<i>N</i>-acetyl-D-glucosamine synthase subunit PgaC,P75905,1086521,1087846,-,P,1.0,['TU0-8471'],"[['PM0-8907', 'PM0-8907', 'PM0-8907', 'PM0-8907']]","[None, None, None, None]",['NhaR-Na+'],"['CsrA, OmpR-P']"
EG11470,b3826,yigL,,phosphosugar phosphatase YigL,P27848,4010200,4011000,+,P,7.0,['TU0-14049'],[[]],[],[None],[None]
EG12231,b3494,uspB,yhiO,universal stress protein B,P0A8S5,3639385,3639720,-,P,2.0,['TU0-1198'],"[['PM0-1358', 'PM0-1358', 'PM0-1358']]","['RPOS-MONOMER', None, None]",['ppGpp'],['IHF']
EG30099,b2911,ssrS,ssr,6S RNA,,3055983,3056165,+,R,7.0,"['TU0-45173', 'TU0-45172', 'TU0-36424', 'TU0-36423', 'TU0-14689', 'TU0-13794']","[['PM0-46473', 'PM0-46473', 'PM0-46473', 'PM0-46473', 'PM0-46473'], ['PM0-46473', 'PM0-46473', 'PM0-46473', 'PM0-46473', 'PM0-46473'], ['PM0-10228', 'PM0-10228', 'PM0-10228', 'PM0-10228', 'PM0-10228'], ['PM0-10229', 'PM0-10229', 'PM0-10229', 'PM0-10229', 'PM0-10229'], ['PM0-10229', 'PM0-10229', 'PM0-10229', 'PM0-10229', 'PM0-10229'], ['PM0-10228', 'PM0-10228', 'PM0-10228', 'PM0-10228', 'PM0-10228']]","['RPOS-MONOMER', None, None, None, None, 'RPOS-MONOMER', None, None, None, None, 'RPOD-MONOMER', None, None, None, None, 'RPOD-MONOMER', None, None, None, None, 'RPOD-MONOMER', None, None, None, None, 'RPOD-MONOMER', None, None, None, None]","[None, None, 'Fis', None, None, 'Fis']","['H-NS, Lrp, StpA, Fis', 'H-NS, Lrp, StpA, Fis', 'StpA, Lrp, H-NS', 'Fis, StpA, Lrp, H-NS', 'Fis, StpA, Lrp, H-NS', 'StpA, Lrp, H-NS']"
G0-9613,b4455,hokA,yiaZ,small toxic polypeptide,P37305,3720448,3720600,-,P,6.0,['TU0-8810'],[[]],[],[None],[None]
EG10890,b1089,rpmF,,50S ribosomal subunit protein L32,P0A7N4,1147367,1147540,+,P,6.0,"['TU0-1', 'TU602', 'TU601']","[['PM0-10020'], ['PM00364'], ['PM00363']]","[None, None, None]","[None, None, None]","[None, None, None]"
EG12112,b2624,alpA,,CP4-57 prophage; DNA-binding transcriptional activator AlpA,P33997,2758644,2758856,+,P,7.0,['TU0-13689'],[[]],[],[None],[None]
G6787,b1497,ydeM,,putative anaerobic sulfatase maturation enzyme YdeM,P76134,1579633,1580790,-,P,10.0,"['TU0-41795', 'TU0-13291']","[['PM0-44963', 'PM0-44963', 'PM0-44963', 'PM0-44963', 'PM0-44963', 'PM0-44963'], []]","['RPOD-MONOMER', None, None, None, None, None]","[None, None]","['GadX, AraC-arabinose, NagC', None]"
EG10514,b0697,kdpB,kac,K<sup>+</sup> transporting P-type ATPase subunit KdpB,P03960,724988,727036,-,P,3.0,['TU00035'],"[['PM00044', 'PM00044']]","['RPOD-MONOMER', None]",['KdpE-Pasp'],[None]
EG11610,b2370,evgS,,EvgS-<i>N</i>-phospho-L-histidine-721,,2484374,2487967,+,P,7.0,"['TU0-7561', 'TU0-7541']","[['PM0-3281', 'PM0-3281', 'PM0-7941', 'PM0-7941', 'PM0-7921', 'PM0-7921', 'PM0-7941'], ['PM0-3281', 'PM0-3281', 'PM0-7941', 'PM0-7941', 'PM0-7921', 'PM0-7921', 'PM0-7921']]","[None, None, 'RPOS-MONOMER', None, 'RPOD-MONOMER', None, None, None, None, 'RPOS-MONOMER', None, 'RPOD-MONOMER', None, None]","['EvgA-Pasp', 'EvgA-Pasp']","['H-NS', 'H-NS']"
G6992,b1808,yoaA,,ATP-dependent DNA helicase YoaA,P76257,1891325,1893235,-,P,9.0,['TU0-13414'],[[]],[],[None],[None]
G7092,b2030,insH7,"yi52_7,trs5-7",IS<i>5</i> transposase and trans-activator,P0CE54,2101895,2102875,-,P,11.0,['TU0-14362'],[[]],[],[None],[None]
G0-8872,b4451,ryhB,"psrA18,IS176,sraI",small regulatory RNA RyhB,,3580922,3581016,-,R,2.0,['TU0-3401'],"[['PM0-45771', 'PM0-45771', 'PM0-45771', 'PM0-8042', 'PM0-45771']]","['RPOD-MONOMER', None, None, 'RPOD-MONOMER', None]",[None],['DNA-binding transcriptional dual regulator Fur']
G0-16663,b4647,mokA,,,,3720448,3720632,-,S,,[],[],[],[None],['DNA-binding transcriptional dual regulator Fur']
G0-10202,,istR-1,,,,3853118,3853192,-,H,,[],[],[],[None],['DNA-binding transcriptional dual regulator Fur']
EG10639,b1225,narH,chlC,nitrate reductase A subunit &beta;,P11349,1283604,1285142,+,P,5.0,['TU00044'],"[['PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060', 'PM00060']]","['RPOD-MONOMER', None, None, None, None, None, None, None, None, None, None, None, None, None]","['RstA-Pasp52, IHF, Fnr, NarL-Pasp59']",['Fis']
G0-16722,b4727,yacM,,protein YacM,P0DPM6,113244,113288,+,P,,[],[],[],"['RstA-Pasp52, IHF, Fnr, NarL-Pasp59']",['Fis']
G6168,b0298,insE1,,IS3 element protein InsE,P0CF66,315291,315590,+,P,10.0,['TU0-12882'],[[]],[],[None],[None]
G6443,b0845,ybjJ,,inner membrane protein YbjJ,P75810,886131,887339,-,P,2.0,['TU0-13069'],[[]],[],[None],['RcdA']
G7192,b2300,yfcE,,phosphodiesterase YfcE,P67095,2419234,2419788,-,P,3.0,['TU0-13586'],[['PM0-9769']],[None],[None],[None]
EG10852,b0852,rimK,nek,ribosomal protein S6 modification protein,P0C0U4,891967,892869,+,P,8.0,"['TU0-2121', 'TU0-2101']","[['PM0-2301'], ['PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281', 'PM0-2281']]","['RPOD-MONOMER', 'RPOD-MONOMER', None, None, None, None, None, None]","[None, 'Rob, MarA, SoxS']","[None, 'OxyR']"
G6083,b0016,insL1,yi81-1,IS186/IS421 family transposase,P0CF91,15445,16557,+,P,1.0,['TU0-12793'],[[]],[],[None],[None]
G7288,b2458,eutD,"ypfA,eutI",phosphate acetyltransferase EutD,P77218,2572489,2573505,-,P,11.0,['TU0-13636'],[[]],[],[None],[None]
EG12393,b3063,ttdT,"ygjC,ygjE",L-tartrate:succinate antiporter,P39414,3208024,3209487,+,P,5.0,['TU00368'],"[['PM0-10539', 'PM0-10539', 'PM0-10539', 'PM0-10539', 'PM0-10539', 'PM0-10539']]","['RPOD-MONOMER', None, None, None, None, None]",['DNA-binding transcriptional activator Dan'],[None]
G6573,b1116,lolC,ycfU,lipoprotein release complex - inner membrane subunit,P0ADC3,1175427,1176626,+,P,7.0,['TU0-13141'],[[]],[],[None],[None]
EG11032,b0888,trxB,trxR,thioredoxin reductase,P0A9P4,931085,932050,-,P,6.0,['TU0-13078'],[['PM0-10003']],[None],[None],[None]
G7237,b2374,frc,yfdW,formyl-CoA transferase,P69902,2492004,2493254,-,P,8.0,"['TU0-7746', 'TU0-7745']","[['PM0-9856', 'PM0-9856', 'PM0-9856'], ['PM0-9855', 'PM0-9855']]","['RPOD-MONOMER', None, None, 'RPOD-MONOMER', None]","['EvgA-Pasp', 'EvgA-Pasp']","[None, None]"
G6205,b0352,mhpE,,4-hydroxy-2-oxovalerate aldolase,P51020,373868,374881,+,P,4.0,['TU0-2402'],"[['PM0-2582', 'PM0-2582', 'PM0-2582']]","['RPOD-MONOMER', None, None]","['MhpR-3HPP, CRP-cyclic-AMP DNA-binding transcriptional dual regulator']",[None]
EG11279,b4246,pyrL,"pyrE-,pyrE-LP",<i>pyrBI</i> operon leader peptide,P0AD83,4472399,4472533,-,P,1.0,"['TU00484', 'TU00485']","[['PM00503', 'PM00503'], ['PM00504']]","[None, None, None]","[None, None]","['ppGpp', None]"
G6324,b0579,ybdF,,PF04237 family protein YbdF,P0AAT2,605518,605886,-,P,5.0,['TU0-12987'],[[]],[],[None],[None]
